,precision,recall,fmeasure
0,0.5914634146341463,0.7238805970149254,0.6510067114093959
1,0.8031496062992126,0.5177664974619289,0.6296296296296297
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,0.4461538461538462,0.7909090909090909,0.5704918032786885
5,1.0,0.955719557195572,0.9773584905660377
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,0.9183673469387755,0.9326424870466321,0.9254498714652956
10,1.0,1.0,1.0
11,0.6418918918918919,0.9134615384615384,0.7539682539682538
12,0.8143712574850299,0.7431693989071039,0.7771428571428571
13,1.0,1.0,1.0
14,1.0,1.0,1.0
15,1.0,1.0,1.0
16,0.6571428571428571,0.7516339869281046,0.7012195121951219
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,0.9444444444444444,0.9784172661870504,0.96113074204947
20,1.0,1.0,1.0
21,1.0,1.0,1.0
22,1.0,1.0,1.0
23,1.0,1.0,1.0
24,1.0,1.0,1.0
25,1.0,1.0,1.0
26,1.0,1.0,1.0
27,1.0,1.0,1.0
28,1.0,1.0,1.0
29,1.0,1.0,1.0
30,1.0,1.0,1.0
31,1.0,1.0,1.0
32,1.0,0.9895287958115183,0.9947368421052631
33,0.9372937293729373,0.922077922077922,0.9296235679214402
34,1.0,1.0,1.0
35,1.0,1.0,1.0
36,1.0,1.0,1.0
37,0.9371428571428572,0.6804979253112033,0.7884615384615385
38,0.5487804878048781,0.5487804878048781,0.5487804878048781
39,0.5914634146341463,0.7238805970149254,0.6510067114093959
